"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 01, 2019","161.000","164.630","164.630","156.000","9.39M","-2.20%"
"Aug 25, 2019","164.630","170.890","171.000","162.000","5.24M","-3.66%"
"Aug 18, 2019","170.890","171.500","173.990","168.100","3.11M","-0.36%"
"Aug 11, 2019","171.500","172.030","174.900","168.000","7.11M","-0.31%"
"Aug 04, 2019","172.030","175.820","175.900","170.000","6.07M","-2.16%"
"Jul 28, 2019","175.820","180.100","183.000","175.000","14.70M","-2.38%"
"Jul 21, 2019","180.100","182.000","184.000","179.000","19.96M","-1.04%"
"Jul 14, 2019","182.000","182.900","185.210","181.000","8.43M","-0.49%"
"Jul 07, 2019","182.900","179.990","186.100","181.000","15.09M","1.62%"
"Jun 30, 2019","179.990","180.300","182.500","178.000","27.98M","-0.17%"
"Jun 23, 2019","180.300","180.900","183.990","179.000","10.52M","-0.33%"
"Jun 16, 2019","180.900","177.740","181.000","177.000","10.91M","1.78%"
"Jun 09, 2019","177.740","176.570","180.000","175.000","25.89M","0.66%"
"Jun 02, 2019","176.570","178.220","180.000","174.510","14.04M","-0.93%"
"May 26, 2019","178.220","180.490","181.980","175.000","20.33M","-1.26%"
"May 19, 2019","180.490","181.980","182.000","178.500","10.11M","-0.82%"
"May 12, 2019","181.980","179.660","182.000","175.010","18.19M","1.29%"
"May 05, 2019","179.660","176.100","180.000","172.000","20.19M","2.02%"
"Apr 28, 2019","176.100","178.000","179.000","176.000","1.29M","-1.07%"
"Apr 21, 2019","178.000","182.490","185.500","175.000","3.83M","-2.46%"
"Apr 14, 2019","182.490","183.050","185.990","180.240","4.57M","-0.31%"
"Apr 07, 2019","183.050","175.600","184.780","176.000","12.98M","4.24%"
"Mar 31, 2019","175.600","177.010","179.990","172.500","49.07M","-0.80%"
"Mar 24, 2019","177.010","173.000","177.990","171.100","9.80M","2.32%"
"Mar 17, 2019","173.000","173.050","176.000","169.000","7.24M","-0.03%"
"Mar 10, 2019","173.050","171.000","174.800","169.000","5.05M","1.20%"
"Mar 03, 2019","171.000","177.570","179.900","169.000","10.93M","-3.70%"
"Feb 24, 2019","177.570","179.300","182.000","175.000","6.78M","-0.96%"
"Feb 17, 2019","179.300","176.280","180.800","175.110","15.23M","1.71%"
"Feb 10, 2019","176.280","181.970","182.000","176.000","10.11M","-3.13%"
"Feb 03, 2019","181.970","183.900","184.800","180.500","4.95M","-1.05%"
"Jan 27, 2019","183.900","182.000","187.000","180.750","6.57M","1.04%"
"Jan 20, 2019","182.000","185.000","185.800","180.110","5.66M","-1.62%"
"Jan 13, 2019","185.000","186.000","187.760","182.000","90.39M","-0.54%"
"Jan 06, 2019","186.000","190.900","192.000","185.000","4.95M","-2.57%"
"Dec 30, 2018","190.900","190.000","191.000","189.990","3.77M","0.47%"
"Dec 23, 2018","190.000","182.770","191.000","183.000","47.06M","3.96%"
"Dec 16, 2018","182.770","188.240","191.000","182.500","36.87M","-2.91%"
"Dec 09, 2018","188.240","190.830","194.000","185.000","10.86M","-1.36%"
"Dec 02, 2018","190.830","192.760","195.000","190.010","14.41M","-1.00%"
"Nov 25, 2018","192.760","183.430","193.000","184.000","24.79M","5.09%"
"Nov 18, 2018","183.430","188.000","190.000","183.000","6.31M","-2.43%"
"Nov 11, 2018","188.000","184.990","190.000","184.000","3.75M","1.63%"
"Nov 04, 2018","184.990","183.210","190.000","184.000","15.17M","0.97%"
"Oct 28, 2018","183.210","185.000","185.000","181.990","12.04M","-0.97%"
"Oct 21, 2018","185.000","187.980","188.000","183.980","6.59M","-1.59%"
"Oct 14, 2018","187.980","191.150","192.100","185.000","8.35M","-1.66%"
"Oct 07, 2018","191.150","197.960","197.960","190.170","4.15M","-3.44%"
"Sep 30, 2018","197.960","198.620","199.000","195.100","2.32M","-0.33%"
"Sep 23, 2018","198.620","199.910","201.500","194.210","13.74M","-0.65%"
"Sep 16, 2018","199.910","198.040","200.000","196.460","7.43M","0.94%"
"Sep 09, 2018","198.040","193.050","200.000","192.000","15.94M","2.58%"
"Sep 02, 2018","193.050","191.690","194.850","188.200","14.86M","0.71%"
"Aug 26, 2018","191.690","193.500","194.000","191.000","16.91M","-0.94%"
"Aug 19, 2018","193.500","188.110","193.500","189.100","24.20M","2.87%"
"Aug 12, 2018","188.110","188.500","189.010","186.100","8.13M","-0.21%"
"Aug 05, 2018","188.500","191.500","194.000","187.000","16.43M","-1.57%"
"Jul 29, 2018","191.500","193.500","193.500","190.000","7.05M","-0.93%"
"Jul 22, 2018","193.300","192.000","194.000","191.960","5.63M","0.68%"
"Jul 15, 2018","192.000","190.100","193.800","187.410","4.73M","1.00%"
"Jul 08, 2018","190.100","191.520","194.000","188.990","6.99M","-0.74%"
"Jul 01, 2018","191.520","192.500","195.800","190.000","3.77M","-0.51%"
"Jun 24, 2018","192.500","195.810","196.000","192.000","23.68M","-1.69%"
"Jun 17, 2018","195.810","195.860","196.000","192.000","25.33M","-0.03%"
"Jun 10, 2018","195.860","199.500","200.000","195.600","14.24M","-1.82%"
"Jun 03, 2018","199.500","195.010","200.000","194.000","28.60M","2.30%"
"May 27, 2018","195.010","199.900","200.000","194.000","55.90M","-2.45%"
"May 20, 2018","199.900","198.910","199.980","196.000","15.56M","0.50%"
"May 13, 2018","198.910","195.000","200.000","195.000","17.58M","2.01%"
"May 06, 2018","195.000","190.500","199.000","190.000","33.47M","2.36%"
"Apr 29, 2018","190.500","189.980","194.000","189.990","46.40M","0.27%"
"Apr 22, 2018","189.980","189.220","190.000","187.000","5.87M","0.40%"
"Apr 15, 2018","189.220","188.000","190.000","183.720","15.23M","0.65%"
"Apr 08, 2018","188.000","189.980","192.000","187.500","13.42M","-1.04%"
"Apr 01, 2018","189.980","185.000","191.000","182.800","36.32M","2.69%"
"Mar 25, 2018","185.000","190.940","191.010","185.000","27.05M","-3.11%"
"Mar 18, 2018","190.940","192.340","194.990","187.120","18.94M","-0.73%"
"Mar 11, 2018","192.340","189.990","192.500","185.000","22.69M","1.24%"
"Mar 04, 2018","189.990","187.000","190.000","183.900","8.11M","1.60%"
"Feb 25, 2018","187.000","190.990","192.000","185.000","26.75M","-2.09%"
"Feb 18, 2018","190.990","192.500","193.000","190.900","12.43M","-0.78%"
"Feb 11, 2018","192.500","193.000","193.000","180.000","13.14M","-0.26%"
"Feb 04, 2018","193.000","194.990","195.000","185.250","15.42M","-1.02%"
"Jan 28, 2018","194.990","195.000","197.000","191.000","37.57M","-0.01%"
"Jan 21, 2018","195.000","185.000","198.000","185.000","464.95M","1.04%"
"Jan 14, 2018","193.000","194.500","195.000","188.000","22.17M","-0.77%"
"Jan 07, 2018","194.500","192.980","194.500","191.000","33.65M","0.79%"
"Dec 31, 2017","192.980","186.280","192.990","186.280","13.36M","3.60%"
"Dec 24, 2017","186.280","189.070","192.000","186.000","13.54M","-1.48%"
"Dec 17, 2017","189.070","181.000","197.990","172.400","30.53M","9.45%"
"Dec 10, 2017","172.740","155.930","173.750","154.000","42.95M","10.78%"
"Dec 03, 2017","155.930","166.000","166.000","151.000","21.00M","-6.07%"
"Nov 26, 2017","166.000","162.110","172.000","160.500","40.42M","2.40%"
"Nov 19, 2017","162.110","179.500","173.500","162.010","22.85M","-9.69%"
"Nov 12, 2017","179.500","172.000","182.000","165.000","655.07M","4.36%"
"Nov 05, 2017","172.000","170.000","180.500","168.000","31.57M","1.18%"
"Oct 29, 2017","170.000","167.000","171.000","167.000","4.06M","1.80%"
"Oct 22, 2017","167.000","170.500","171.000","165.000","7.03M","-2.05%"
"Oct 15, 2017","170.500","171.000","173.000","169.000","7.10M","-0.29%"
"Oct 08, 2017","171.000","168.000","171.000","167.000","19.93M","1.79%"
"Oct 01, 2017","168.000","165.500","172.380","166.000","16.56M","1.51%"
"Sep 24, 2017","165.500","166.990","167.000","163.990","26.20M","-0.89%"
"Sep 17, 2017","166.990","166.000","167.700","166.000","8.85M","0.60%"
"Sep 10, 2017","166.000","166.000","168.000","163.000","6.22M","0.00%"
"Sep 03, 2017","166.000","167.570","170.000","165.000","13.77M","-0.94%"
"Aug 27, 2017","167.570","158.000","169.960","155.000","29.80M","6.06%"
"Aug 20, 2017","158.000","168.000","168.000","155.000","26.81M","-5.95%"
"Aug 13, 2017","168.000","170.000","170.000","165.000","19.23M","-1.18%"
"Aug 06, 2017","170.000","179.990","180.000","169.000","14.52M","-5.55%"
"Jul 30, 2017","179.990","174.500","180.000","174.000","11.88M","3.15%"
"Jul 23, 2017","174.500","173.000","174.500","172.000","9.48M","0.87%"
"Jul 16, 2017","173.000","176.510","178.100","171.000","19.07M","-1.99%"
"Jul 09, 2017","176.510","172.000","177.000","173.000","12.05M","2.62%"
"Jul 02, 2017","172.000","168.000","172.590","167.900","40.65M","2.38%"
